id_ue,intitule,ects,nb_groupes,capac1,capac2,capac3,capac4,capac5,cours1,cours2,td1,tme1,td2,tme2,td3,tme3,td4,tme4,td5,tme5
1,anglais,3,1,200,,,,,1,,2,,,,,,,,,
2,anglais_,3,1,200,,,,,13,,14,,,,,,,,,
3,anum,3,1,200,,,,,11,,12,,,,,,,,,
4,anum2,3,1,200,,,,,13,,0,,,,,,,,,
5,aps,6,1,200,,,,,14,,11,12,,,,,,,,
6,ar,6,1,200,,,,,7,,3,4,,,,,,,,
7,arob,6,2,200,200,,,,24,,18,19,18,19,,,,,,
8,ca,6,1,200,,,,,6,,1,2,,,,,,,,
9,cloud,6,1,200,,,,,22,,13,14,,,,,,,,
10,comnum,6,2,200,200,,,,7,,0,0,22,23,,,,,,
11,conferences,0,1,200,,,,,8,,0,,,,,,,,,
12,cpa,6,2,200,200,,,,22,,23,24,23,24,,,,,,
13,cps,6,1,200,,,,,9,,3,4,,,,,,,,
14,dalas,6,2,200,200,,,,4,,11,12,11,12,,,,,,
15,dj,6,1,200,,,,,3,,21,22,,,,,,,,
16,ecfa,6,1,200,,,,,4,17,1,2,,,,,,,,
17,flag,6,1,200,,,,,21,,1,2,,,,,,,,
18,fle,3,1,200,,,,,0,,0,,,,,,,,,
19,fosyma,6,1,200,,,,,4,,6,7,,,,,,,,
20,fpga,6,3,200,200,200,,,9,,1,2,6,7,6,7,,,,
21,iamsi,6,2,200,200,,,,13,,6,7,16,17,,,,,,
22,ig3d,6,1,200,,,,,9,,18,19,,,,,,,,
23,ihm,6,1,200,,,,,9,,11,12,,,,,,,,
24,ioc,6,1,200,,,,,16,,21,22,,,,,,,,
25,isec,6,1,200,,,,,16,,18,19,,,,,,,,
26,ml,6,2,200,200,,,,14,,6,7,16,17,,,,,,
27,mll,3,1,200,,,,,14,,11,12,,,,,,,,
28,multi,6,1,200,,,,,12,,23,24,,,,,,,,
29,multi_en,6,1,200,,,,,17,,23,24,,,,,,,,
30,paf,6,1,200,,,,,7,,18,19,,,,,,,,
31,pc2r,6,1,200,,,,,13,,16,17,,,,,,,,
32,pnl,6,1,200,,,,,6,,18,19,,,,,,,,
33,ppse,3,1,200,,,,,11,,0,,,,,,,,,
34,pqig,3,1,200,,,,,0,,0,,,,,,,,,
35,projet(3),3,1,200,,,,,0,,0,,,,,,,,,
36,projet(6),6,1,200,,,,,0,,0,,,,,,,,,
37,projet(9),9,1,200,,,,,0,,0,,,,,,,,,
38,qiintro,6,1,200,,,,,14,,23,24,,,,,,,,
39,rital,6,1,200,,,,,3,,18,19,,,,,,,,
40,rp,6,1,200,,,,,23,,16,17,,,,,,,,
41,sam,6,1,200,,,,,9,,21,22,,,,,,,,
42,sas,6,1,200,,,,,15,,1,2,,,,,,,,
43,sdm,6,1,200,,,,,6,,7,8,,,,,,,,
44,sftr,6,1,200,,,,,11,,16,17,,,,,,,,
45,srcs,6,1,200,,,,,12,,23,24,,,,,,,,
46,wimob,6,1,200,,,,,17,,18,19,,,,,,,,
47,anum_anum2,6,1,200,,,,,13,,11,12,,,,,,,,